manuscript_section,claim_or_result,figure_table,input_dataset,config,producing_script,output_file,canonical_expected,reproduced_value,tolerance,status,checksum
Sec 2 (Data/Methods),1800 valid 1-degree cells,text; Fig 2a; Fig 12,deposit gridded/fig02_box_p95.csv; catalogs/grid_predicted_intensity_variant3.csv; lgcp/,configs/reproduction_fast.yaml expected_counts.valid_one_degree_cells,scripts/figures/fig02/fig02_panel_a_tmax_p95_map.py; fig12; validation kfold,reproduced/fig02; reproduced/fig12; reproduced/validation_kfold,1800,1800 (printed by fig02a boxes / fig12 grid rows / kfold grid boxes),exact,EXECUTED-PASS,
Sec 2 (Data/Methods),15738 warm-season days (86y x 183d),text; Fig 2b,deposit gridded/fig02_daily_extent.csv,configs/reproduction_fast.yaml expected_counts.warm_season_days,scripts/figures/fig02/fig02_panel_b_extent_hexbin.py,reproduced/fig02/fig02_daily_extent_intersection.csv,15738,days=15738 (printed),exact,EXECUTED-PASS,
Sec 2 (Methods),Theta = 371 (P97.5 of daily heatwave-cell counts; method 'higher'),text; Fig 2b,deposit gridded/fig02_daily_extent.csv,yaml parameters.bigday_quantile=0.975 method=higher theta_threshold=371,scripts/figures/fig02/fig02_panel_b_extent_hexbin.py,reproduced/fig02,371,P97.5 threshold = 371 boxes (printed; legacy console wording - the diagnostic print retains the legacy token),exact,EXECUTED-PASS,
Sec 2 (Methods),threshold fraction 0.2061 of domain,text; Fig 2b,deposit gridded/fig02_daily_extent.csv,same,scripts/figures/fig02/fig02_panel_b_extent_hexbin.py,reproduced/fig02,0.2061,0.2061 (printed),exact (4 dp),EXECUTED-PASS,
Sec 3 (Results),395 selected event days,text; catalog,deposit catalogs/ master (760 rows),yaml expected_counts.selected_days,scorch.catalog.validate_master (package) + fig12 + power-law scripts,validate-catalog stage log,395,395 unique dates (package validation + fig12 daily-max count + fig11 n=395),exact,EXECUTED-PASS,
Sec 3 (Results),51 compound events,text; catalog,deposit catalogs/ master,yaml expected_counts.events,scorch.catalog.validate_master + fig12 + fig11,validate-catalog stage log,51,51 (package validation + fig12 event-max count + fig11 n=51),exact,EXECUTED-PASS,
Sec 3 (Results),760 PCA ellipses,text; catalog,deposit catalogs/ master,yaml expected_counts.ellipses,scorch.catalog.validate_master + kfold CV (centroids),validate-catalog stage log,760,760 rows / 760 centroids,exact,EXECUTED-PASS,
Sec 3 (Results),event type counts T1=3 T2=4 T3=20 T4=24 (event 14 = Type 3),Table 1,deposit catalogs/ master,yaml expected_counts.type_counts,scripts/pipeline/make_global_max_tables.py (runtime asserts),reproduced/tables/Table_Compound_Heatwave_Typologies_global_max.csv,{1:3;2:4;3:20;4:24}; event14=3,"{1: 3, 2: 4, 3: 20, 4: 24}; event 14 type = 3 (printed + asserted)",exact,EXECUTED-PASS,f12ee1ab937956e4bcaeb1c2baad7b0aa05ed939c498310ba91882a58baa0c2e (Table_Compound_Heatwave_Typologies_global_max.csv; the superseded pre-release hash 778e08ab... belonged to the removed Table_01.csv duplicate with the pre-correction header and is recorded only as historical provenance in TABLE_PROVENANCE.csv)
Sec 3 (Results),event-day split 3/4/75/313,Table 1 col 'Frequency of Occurrence',deposit catalogs/ master,n/a,scripts/pipeline/make_global_max_tables.py,reproduced/tables/Table_Compound_Heatwave_Typologies_global_max.csv,3/4/75/313,3/4/75/313 (table rows),exact,EXECUTED-PASS,
Sec 2 (Methods),PCA ellipse scale sigma = 1.25 (var floor 1.0 km2; axis floor removed),text; config,deposit catalogs/ master (sigma column),configs/reproduction_fast.yaml parameters.sigma=1.25 var_floor_km2=1.0,scorch.catalog.validate_master (sigma uniformity) + scripts/figures/common/ellipse_pca.py (canonical kernel),validate-catalog stage log,1.25 uniform over 760 rows,sigma uniformly 1.25 (package validation),exact,EXECUTED-PASS,
Sec 3,Figure 1 study-domain schematic,Fig 1,archived original slide export,n/a,scripts/figures/fig01/restore_fig01_original_threshold.py,assets/frozen_figures/fig01/Figure_01.png,d3e0ca5eeefd811777480a412e5f4ec7f79007f7b2f15b2dc150ff3808f99280,byte-identical,exact,PASS,d3e0ca5eeefd811777480a412e5f4ec7f79007f7b2f15b2dc150ff3808f99280
Sec 3,Figure 2 (domain p95 map + daily extent hexbin; V7 GRID-CELL LABEL CORRECTION),Fig 2,deposit gridded/,yaml,scripts/figures/fig02/*,reproduced/fig02/Figure2_assembled.png,deployed manuscript embed (62c20697...),"BYTE-IDENTICAL to the deployed manuscript embed. V7 replaced the panel (b) axis labels with grid-cell wording ('Fraction of Domain Grid Cells with Heatwave Label' / 'Heatwave-Labeled Fraction of Tmax-Exceedance Grid Cells'); plotted data and thresholds unchanged. DEPLOYED into the WORKING manuscript on 2026-07-30 (G2 pass, Fawaz-approved). Superseded pre-correction embed: 6700c919...",byte,EXECUTED-PASS,reproduced 62c20697282bddc0aa199782dec574fe0d84048ed6d3eaf117c839d31505b46f; deployed WORKING embed 62c20697282bddc0aa199782dec574fe0d84048ed6d3eaf117c839d31505b46f
Sec 3,Figure 3 (centroid map + geometry panels),Fig 3,deposit catalogs/ master,n/a,scripts/figures/fig03/*,reproduced/fig03/Figure3_assembled.png,byte-identical target,BYTE-IDENTICAL sha256 match,byte,EXECUTED-PASS,ff6a5129452d73e3c67650836d725c4c35f6945ed9ace21504d2bac7f43ee319
Sec 3,Figure 4 typology schematic,Fig 4,archived original slide export,n/a,scripts/figures/fig04/correct_fig04_type4_horizontal.py,assets/frozen_figures/fig04/Figure_04.png,c35d9ed6ccea8d7f6d8ec8ad92d65fb3c5dd2df16d82b015b7a531b2eefc829f,byte-identical,exact,PASS,c35d9ed6ccea8d7f6d8ec8ad92d65fb3c5dd2df16d82b015b7a531b2eefc829f
Sec 3,Figures 5 and 7 (Type 1/2 and Type 4 snapshot grids),Figs 5 and 7,deposit catalogs/final_labels_event_global_max.csv,n/a,scripts/figures/fig05_06_07/make_figs_5_6_7.py,reproduced/fig05/Figure5_type1_type2.png; reproduced/fig07/Figure7_type4_six_days.png,byte-identical targets,BYTE-IDENTICAL sha256 match (both),byte,EXECUTED-PASS,53bc580287ef7650f178d083a5bed0eabb07f82788c0432ba7352847a4dc2dad / 40494b4c0f978da3c7e75eaabdc2de5128e40718b5d1159c97579e82ab47f965
Sec 3,Figure 6 (Type 3 two-event snapshot grid; R2 row-label revision),Fig 6,deposit catalogs/final_labels_event_global_max.csv,n/a,scripts/figures/fig05_06_07/make_fig6.py,reproduced/fig06/Figure6_type3_two_events.png,byte-identical target,BYTE-IDENTICAL sha256 match,byte,EXECUTED-PASS,769a24eaed5987b25a64499e3d3667ff2cfdac4f5ae518a5a02ed920ced0a471
Sec 3,Figure 8 (per-type geometry statistics),Fig 8,deposit catalogs/ master,n/a,scripts/figures/fig08/Figure_10_Statistical_Analysis_of_Types_ORIGINAL.py,reproduced/fig08/figure5_type_AGU_hist_boxplot_orientation_area_ratio.png,archived PRE-B2B-1 script output (THREE distinct artifacts; none byte-identical to another - see FIGURE_PROVENANCE.csv),reproduced output BYTE-IDENTICAL to the archived pre-post-processing (pre-B2B-1) script output ONLY; the approved full-resolution asset is the authors' manual B2B-1 post-processed pass (identical dimensions; 5.10% of pixels differ from the reproduced output); the DOCX embed is a downscaled export of the approved asset,byte (vs the archived pre-B2B-1 output only),EXECUTED-PASS,repro bf15335648f446f2b09106771dec167c83d8819b280b35978bd082cfd4449cbe; approved original 9b2bd0f16c04f7d9107ead835b9734d631d1fdf476a7c3d838140e867460e30a; deployed embed c64f1a16441b3f73d57bde6a75953d261e45cade7d7b7766ca36977aa6bccb6b
Sec 3,Figure 9 (CDF + orientation density),Fig 9,deposit catalogs/ master,n/a,scripts/figures/fig09/make_figure9_unified_ORIGINAL.py (+ scripts/figures/common/scorch_axial.py; deterministic width-1950 downscale via scripts/figures/common/make_manuscript_artwork.py),reproduced/fig09/Figure9_assembled.png,approved full-resolution original (f4dce68d...) and manuscript embed (7859acbd...),reproduced output BYTE-IDENTICAL to the approved full-resolution original; the manuscript embed is its deterministic width-1950 LANCZOS downscale and matches byte-for-byte; CORRECTED in the v1.0.0 pre-release correction: event orientation is the doubled-angle axial mean where the superseded pre-release chain averaged axial angles arithmetically (Event 4 -21.101 deg instead of +68.98532754765856 deg); superseded artifacts (full-res 4cb3b38a...; embed b023c6e5...) are archived under legacy_defective_figure09/ and are HISTORICAL ONLY,byte,EXECUTED-PASS,repro f4dce68d75000fab7bd2682f365f86a2197020d7c9156bddd52ff5313169f205; manuscript embed 7859acbd9ea69047d5a85bda65c4eed25d3592d52c4b0bfaad0a3068226a1431
Sec 3,Figure 10 (trend analysis; Sen slope + Mann-Kendall),Fig 10,deposit catalogs/ master,n/a,scripts/figures/fig10/Figure_9_Trend_Analysis_With_Table_statistics.py (statistics also via make_global_max_tables.py),reproduced/fig10/Fig11_SCORCH_event_frequency_duration_ONLY_two_panels.png,byte-identical target,BYTE-IDENTICAL sha256 match; trend-summary CSV and Table_Trend_Analysis both byte-identical to deposit,byte,EXECUTED-PASS,b0fe7dfc98fff6c09f91436dc26430418f0d4c1364cec3ee1f22710c1f99d2db
